datetime,ocean_name,latitude,longitude,depth_m,salinity_psu,ph,chlorophyll_mg_m3,nitrate_umol_l,phosphate_umol_l,oxygen_ml_l,current_speed_m_s,wind_speed_m_s,temperature_c
53:16.8,Arctic Ocean,83.81376595,-123.5474261,200.5591986,35.48203773,7.73143663,0.350765532,13.37657805,2.241973705,2.84293078,1.769738979,0.277673194,20.36008459
53:16.8,Pacific Ocean,55.51152266,117.8287739,2200.512459,39.53177538,7.751744464,0.17980019,25.21664114,0.509880188,5.206124245,0.721610708,12.42720672,4.611184504
53:16.8,Other,-35.16952155,-164.910522,1422.422347,31.80290131,7.966592873,0.699303016,2.747387449,0.739477575,2.400574983,0.647151688,13.05063812,11.97796248
53:16.8,Southern Ocean,-72.41901948,-29.09416468,2683.637809,37.24135979,8.39783108,0.682540198,5.805587731,1.29279433,6.707884809,1.6675088,3.162151565,-3.73255441
53:16.8,Other,33.16194477,-119.4466839,434.2583592,38.12239539,7.649597656,0.192307063,21.85095284,0.994314207,4.660441183,2.719451791,8.621483703,21.8958352
53:16.8,Pacific Ocean,-10.77255113,136.5588776,5724.789849,36.79128831,8.32597367,1.321329317,2.472627754,1.756176633,2.588929526,0.217103837,19.28665202,-28.26341226
53:16.8,Southern Ocean,-68.03311773,20.53458478,1339.532406,36.0692228,7.791302809,0.449068364,35.2363506,1.013521857,5.376177626,1.813171537,17.68378456,10.22806099
53:16.8,Other,-0.86815618,-96.7029709,5533.846653,35.64812781,8.308586169,0.2062437,5.685854818,1.178854908,7.615250146,2.309410419,8.216428457,-25.01803724
53:16.8,Southern Ocean,-83.8100662,0.87382338,2555.35893,38.60930483,8.420271198,0.403442247,26.95679496,2.588659825,1.574663086,0.346206209,6.99692536,-2.968858658
53:16.8,Arctic Ocean,73.67767237,83.33508949,5913.1448,38.21646597,7.927493872,0.829330543,15.64813767,2.653594319,1.765416451,0.350309072,2.48161362,-34.89641218
53:16.8,Pacific Ocean,-43.41960331,164.9224832,3324.350301,31.22288721,7.865050654,1.296347382,15.9915099,2.483133572,6.906874028,1.09838399,0.703781691,-7.475521196
53:16.8,Other,29.25401118,-100.6394385,5584.997185,38.48587657,8.302221319,0.657569414,30.59558114,2.594492798,1.767156422,0.821643521,5.949255549,-28.1402859
53:16.8,Pacific Ocean,-33.8920063,139.025438,32.09393217,34.14068619,8.029482882,0.74569387,19.97848537,1.709186008,1.275627585,0.594942477,18.80566694,25.27073518
53:16.8,Pacific Ocean,3.612243812,156.3494811,4489.432837,32.5369683,8.184449048,0.149597984,29.02621855,1.938699644,3.435514067,0.596082521,19.17226903,-15.36480116
53:16.8,Pacific Ocean,8.407850282,149.911396,5418.303919,38.69768568,8.122829237,2.461474438,20.20764915,1.6715195,4.266941194,0.392007097,16.25038681,-22.03794953
53:16.8,Indian Ocean,-56.72619801,48.74916847,838.3234019,34.320248,7.652888846,2.641198392,23.71621366,2.356764252,4.986111057,1.832562039,7.01649627,16.12943856
53:16.8,Arctic Ocean,84.525233,46.7354356,576.7551104,38.0836469,8.34479036,1.150200122,30.42858511,1.653001457,4.551101628,2.064376811,2.872528658,16.10073102
53:16.8,Atlantic Ocean,49.52390821,-34.84417205,2547.435643,32.63403612,7.695775111,0.017788694,24.29234972,0.333230894,7.392291939,2.108808681,11.91066951,-0.364103875
53:16.8,Arctic Ocean,79.10980948,90.86323763,5602.073437,30.03929321,8.432282144,0.770188531,24.62460438,2.428740361,6.380676703,1.597061928,12.93010014,-34.32812041
53:16.8,Arctic Ocean,71.06892308,11.26584661,3254.319361,34.95459193,7.750571291,0.992143612,31.56878366,2.281755512,7.886671791,2.858718809,8.491471385,-9.074516933
53:16.8,Indian Ocean,17.62199619,63.87770564,3164.738782,31.00228257,8.233880973,5.231448368,37.96347263,2.460901786,4.335187963,2.641598333,13.83293591,-2.836250734
53:16.8,Arctic Ocean,75.9373623,-25.75515461,846.7567098,37.54375956,7.784655393,5.538341393,15.06864616,0.57128839,1.590307269,2.872893428,14.93363771,14.83354154
53:16.8,Southern Ocean,-74.07134963,83.33872706,4.737066559,32.76075136,7.817785409,1.949194183,23.08468629,0.814851158,7.688714501,1.166386434,15.66123327,23.42305688
53:16.8,Pacific Ocean,-54.72308476,116.8097463,4860.840544,34.43645647,7.810001853,0.065959255,3.450926309,0.887255092,1.028792131,2.63334948,10.04596223,-23.96318851
53:16.8,Southern Ocean,-81.859088,-127.2829476,525.4473779,30.87033565,8.247892254,3.063505691,14.35215522,1.524241609,6.432672097,2.288624098,15.83281555,17.24618282
53:16.8,Pacific Ocean,-31.44054046,119.8546976,3803.098912,32.86659248,8.056815118,0.948455638,16.48196904,0.401631252,1.218974215,1.019918709,0.509528525,-10.39498948
53:16.8,Atlantic Ocean,-20.03808786,14.50675144,5487.698727,37.81490243,8.382952456,1.613881624,33.40949267,1.15614526,6.328499335,0.319779776,13.60808733,-25.39601616
53:16.8,Pacific Ocean,-41.15717428,124.0797273,1251.911479,31.51587912,7.807372719,0.522886143,20.53569609,0.546474483,7.565572579,2.04786375,4.712679141,13.45752934
53:16.8,Atlantic Ocean,59.17275165,-24.73138572,3991.637017,36.47159561,8.191992522,0.385176527,29.24265493,0.794288139,3.724822081,0.409356972,5.410405834,-13.23780854
53:16.8,Atlantic Ocean,-25.7844012,-43.54542526,472.1914602,39.17425853,8.2529486,0.622211935,0.760296001,2.119162904,2.686753959,0.881327421,1.826034132,24.61111457
53:16.8,Pacific Ocean,-39.43178826,149.4218637,3622.530863,36.7983676,7.651482113,0.15884863,18.57970679,2.564433469,2.583954068,1.501093729,3.847845272,-10.65813094
53:16.8,Other,7.685294968,-89.57906368,983.5903257,38.11021689,7.900589357,0.44171342,36.05270661,0.0687176,4.442023509,2.039647605,19.84016466,20.26351118
53:16.8,Southern Ocean,-64.6336395,123.9164371,4415.721363,31.08971629,7.982817494,1.949238179,8.972556372,1.69769089,2.19620925,2.778682972,8.307802611,-21.66735109
53:16.8,Atlantic Ocean,54.39545654,-5.752593897,1807.387769,32.50731826,7.85568739,0.03868936,1.260887412,0.108179286,5.710465415,1.779720135,18.55530797,8.052516628
53:16.8,Southern Ocean,-76.58088414,5.074359318,2780.346053,38.94538852,7.822112596,0.16355246,17.33634935,0.255747735,3.578466502,2.014239299,3.257990564,-3.421033678
53:16.8,Arctic Ocean,87.63964859,-68.95141866,3596.583252,37.15105614,8.186419894,0.133664155,28.17727283,2.115252104,3.261766447,0.93004155,4.081176842,-12.26763513
53:16.8,Indian Ocean,49.00405847,26.29519222,1027.640464,36.39553826,7.715866398,0.515964711,18.17854027,2.20682432,4.228999034,2.061877849,11.15626708,14.34230264
53:16.8,Atlantic Ocean,-54.23117732,-62.92396934,4449.826912,36.63766736,8.209390745,5.804786126,18.39913254,2.44194202,4.798112517,1.313370362,6.990650818,-18.4921787
53:16.8,Southern Ocean,-89.00601892,-165.8630109,1815.842044,34.14200554,8.435044196,0.190383483,26.79220165,1.422724535,1.993511836,2.570793549,12.87830417,1.404849796
53:16.8,Other,56.78305712,-82.08050208,3974.231159,30.44556632,8.065197521,0.157218472,10.17555233,2.579422446,5.954343547,1.177351542,8.440931514,-17.92363638
53:16.8,Other,37.23432189,-177.7035444,949.6983042,37.84441542,8.111434237,2.465759882,30.07559167,0.500514875,7.180629699,1.404816065,16.23194475,16.95151172
53:16.8,Pacific Ocean,41.22129025,172.2077233,4128.705955,36.78713236,7.568932702,2.137498856,6.124541236,0.749149241,2.945908413,1.297763271,8.631181423,-13.53938697
53:16.8,Pacific Ocean,48.8286624,167.6689955,769.1284369,34.72804464,8.364476904,0.032771539,15.83002421,0.403506443,2.262736313,2.433368503,11.44698365,16.37884328
53:16.8,Southern Ocean,-76.67196269,-37.74409291,2552.138978,38.99759615,7.785447787,1.393141591,26.24032434,2.392611782,6.323537966,2.861097591,6.421464,-2.405878661
53:16.8,Indian Ocean,-25.47616886,82.21350756,1483.236442,33.36159665,8.115051166,1.065561633,33.13476029,0.686025355,2.284792066,0.981828903,14.08081975,13.48118089
53:16.8,Southern Ocean,-69.14356929,-55.50980457,4490.251497,32.94321744,8.47911217,1.459901332,31.66124285,0.466533728,1.288786123,1.425083702,13.09468418,-21.38181524
53:16.8,Arctic Ocean,65.35861666,61.59353655,1572.210027,38.72796325,8.095502601,0.682212097,28.86742397,1.869332063,5.334702543,2.1177788,7.940020655,10.70381729
53:16.8,Pacific Ocean,22.19366283,109.9548155,5290.303838,37.96987655,8.224709487,4.753579531,14.36385534,0.231246079,2.678259914,2.686144866,5.520642056,-24.52505736
53:16.8,Pacific Ocean,-30.43835553,160.8322481,5350.921268,35.14979811,7.945319618,0.044837356,4.892172652,0.134700832,2.202672862,1.481102091,12.2820875,-26.96471816
53:16.8,Southern Ocean,-78.55949695,-35.92358069,1178.647891,31.30734739,7.560365844,0.267058327,8.673368708,0.320152946,7.871219192,0.326680525,18.86303298,8.52455979
53:16.8,Pacific Ocean,-34.02318209,101.9872739,3683.07567,32.15071471,8.297599349,0.505085442,34.59335258,0.000722652,3.043054884,1.106014151,2.652860481,-11.17093191
53:16.8,Other,-31.46700204,-84.26575777,526.3058503,36.5622799,7.534998841,0.59743334,34.29325481,2.090970463,7.324103032,1.651085656,15.98233237,20.79909831
53:16.8,Pacific Ocean,41.3291121,176.5196294,2349.222598,33.85041238,8.200657829,2.542968942,38.0624341,1.686705965,2.247531361,1.252573818,10.85983546,0.34850001
53:16.8,Other,24.76034484,-170.7229444,4279.930377,38.36473192,7.522921573,0.82099047,3.039546076,0.629625327,6.732839924,0.55966718,10.5111939,-12.63899929
53:16.8,Arctic Ocean,69.69829366,37.27037034,3956.539481,39.49955009,8.362305237,0.046160171,21.47236341,0.699014844,4.514132111,0.110968486,19.23368295,-15.58640736
53:16.8,Indian Ocean,-5.001313471,57.42215339,3748.204016,38.05636925,7.657636036,0.52401719,25.9473218,2.432905795,1.550163384,2.062225998,12.11749595,-4.77943079
53:16.8,Southern Ocean,-68.47303573,67.69640055,1695.245182,33.77545423,8.014271495,0.538694396,28.42629508,1.505460348,6.135237056,2.978211572,16.61035655,5.116047016
53:16.8,Other,38.3840617,-136.6604716,2268.149697,37.88686429,8.097150704,3.366533335,25.7545294,2.095585071,7.244513602,2.757619902,10.28954498,3.628661114
53:16.8,Pacific Ocean,46.94130875,157.8707221,617.6768682,33.51441673,7.957545407,0.914285471,30.8004556,1.358266354,2.141118932,2.049812733,4.997067345,18.05661478
53:16.8,Other,11.02989556,-114.7740195,4314.136923,31.67100088,7.840763489,1.009643275,14.37886305,0.713154078,6.079131696,2.524589426,13.88980543,-15.55091467
53:16.8,Indian Ocean,48.77409239,44.19122517,3023.332781,30.33393205,7.967814296,1.249155094,7.177310885,2.911208402,4.115367634,0.767182855,18.46353809,-5.170346893
53:16.8,Other,-1.116792654,-99.83661152,4252.593794,33.85716713,7.811415754,1.469846922,8.183334886,1.69694269,6.277093173,1.867303308,16.82460191,-12.29985981
53:16.8,Atlantic Ocean,4.091909289,-69.40208987,1493.661149,39.03559304,7.938122347,1.007997854,0.479147579,0.392945711,5.997495637,0.181812646,3.967272125,16.33672562
53:16.8,Atlantic Ocean,-13.0426167,16.72507502,1946.629372,32.38986588,7.858912991,0.270752,14.01287488,1.218270127,1.186201613,2.121551782,6.337782381,10.04968938
53:16.8,Southern Ocean,-85.42455719,-29.81036932,2005.292024,32.06513165,8.066204824,2.071837838,3.669762035,0.988012236,2.251047252,2.909617017,10.33761348,1.92500542
53:16.8,Southern Ocean,-70.57954314,-122.3187836,154.4544585,39.69820785,7.737924162,1.317215415,12.85954771,0.642262406,4.297190701,2.582391922,11.4320659,21.32865293
53:16.8,Southern Ocean,-84.34274658,-118.4628951,2046.287237,30.25004113,8.488656555,1.354293824,25.12840309,2.800319968,7.535159203,1.603322624,3.876282289,-0.370957365
53:16.8,Atlantic Ocean,24.55387403,-29.46787626,4819.827441,37.8578215,8.000869953,5.67133636,35.77912222,2.642759986,3.394514197,2.366220658,4.6002468,-19.9606147
53:16.8,Indian Ocean,-33.41592341,92.62187218,5383.790974,33.21369956,7.694162077,1.622151057,33.58421804,0.59744135,5.402114292,2.83169643,15.17662138,-23.80892883
53:16.8,Pacific Ocean,1.54272441,143.2672729,3109.309894,30.37487957,7.97706675,1.766977513,10.10696848,1.056443667,1.084586219,0.648052734,14.60634833,-1.399995323
53:16.8,Arctic Ocean,73.36196531,-149.7140416,2733.010171,39.1780254,8.36641513,3.024245246,5.363325688,2.286946175,5.977888451,2.379775539,16.78417629,-3.724004355
53:16.8,Atlantic Ocean,-45.12739875,-38.48259328,184.9477122,31.3964233,7.521806793,0.163853938,7.722890952,0.625518144,5.221477839,0.809540874,18.65859615,23.59034238
53:16.8,Other,-16.13107385,-143.9115971,5275.226026,35.51779284,8.179554119,0.688612232,38.83946608,1.774694588,6.007763226,2.630842266,6.165222378,-24.86492313
53:16.8,Other,45.99920494,-174.026707,78.06128056,32.74054207,8.047967797,0.868851536,21.97897919,2.099381826,7.332624291,0.295063517,17.19189913,24.43000063
53:16.8,Indian Ocean,-48.81633021,58.21872575,5668.500481,30.65192802,7.669557994,0.399397149,7.30008892,1.961916977,2.025492532,0.534655257,13.32023583,-31.48159004
53:16.8,Southern Ocean,-76.14361623,36.88179911,2935.297492,30.49922486,8.317476439,1.828859299,33.62984619,2.119225921,2.831127172,2.16184939,19.15540848,-7.896487258
53:16.8,Other,-37.84473848,-121.313119,2051.606961,31.15556699,7.868884622,1.437249278,15.80764977,2.120098767,7.970466245,0.524332512,5.44148312,4.174016682
53:16.8,Southern Ocean,-60.98016829,-95.82738009,5545.310609,30.71367014,7.793802029,1.276124497,35.96888608,2.89441776,2.09398771,0.474162906,5.393430033,-32.48626294
53:16.8,Arctic Ocean,77.34557742,-171.4652087,146.3459587,37.60558116,8.328125192,5.860239728,10.42708507,1.039496669,6.044389046,1.666400632,14.08586897,21.00352229
53:16.8,Pacific Ocean,55.46166832,120.580994,3488.549369,34.85566202,8.138525046,0.30026946,15.72887035,2.635771273,6.075531374,2.504961713,18.56821548,-11.81765554
53:16.8,Pacific Ocean,24.01267617,170.8886146,3293.595147,33.42892091,8.398259084,1.329752421,20.19791051,0.065421188,5.780956224,0.805402276,16.4911165,-6.222987065
53:16.8,Arctic Ocean,66.86290623,-131.2345668,1315.922407,34.1836891,8.129883704,0.801633632,35.70461336,0.86460889,2.592084125,2.523414548,14.54079116,8.598410338
53:16.8,Other,54.66097384,-96.66892304,2573.324588,39.28946736,8.240817658,0.375405241,34.75029726,0.145967346,2.505938442,2.42386019,7.746183961,-1.578244685
53:16.8,Pacific Ocean,-56.4173894,132.6274286,3913.584036,39.10751813,8.336445896,0.175052287,22.97420281,1.95361188,5.664387476,1.737316203,14.35534669,-15.09702016
53:16.8,Arctic Ocean,70.66061973,153.5269673,4362.787181,37.1567648,7.554739636,2.262248052,8.871020391,0.302371112,2.303751291,1.939688261,16.02191153,-19.30912953
53:16.8,Atlantic Ocean,7.081603545,-28.93414219,4.301152239,38.84682377,8.276048959,0.904993493,16.13427887,2.537120591,5.630943322,0.12132356,15.0657136,31.50735794
53:16.8,Other,55.33922793,-161.77591,5621.120581,33.19648028,8.113706482,1.742591306,39.02532261,1.939775051,4.447697974,1.101406675,13.53621597,-33.64191222
53:16.8,Arctic Ocean,71.29643399,-165.8189399,987.1522344,33.81109326,7.569507797,0.788216354,24.31092896,0.086446203,3.706402074,0.790184793,0.942625034,14.34123658
53:16.8,Indian Ocean,-32.75937451,26.62195178,1401.482605,36.13712182,8.008577922,0.248431976,31.2439102,2.144332096,3.101626446,0.450011582,13.19429866,11.81006669
53:16.8,Southern Ocean,-70.19065359,-38.5577608,1580.840674,36.23625947,7.582458078,0.411808404,17.99458781,2.586104842,7.633038533,1.168977987,9.56589311,8.166659888
53:16.8,Other,-48.97167074,-169.6851261,226.9208193,34.81699838,8.235947202,0.48052089,21.28029102,1.983363023,4.556655604,1.064712589,19.23138543,23.05558298
53:16.8,Indian Ocean,-13.12059805,29.97086123,738.3127415,34.00657848,8.046501714,3.609506971,17.15816449,0.091572648,4.928763738,2.186675034,12.14379767,21.74198002
53:16.8,Other,57.24265787,-175.9310868,5918.099538,39.86180312,8.453573537,0.005649205,28.11683992,2.573758645,7.644792593,1.794289021,12.16454512,-35.09864359
53:16.8,Arctic Ocean,64.93150499,103.4539049,1891.300424,38.21123626,7.683135372,4.245122548,34.05884056,2.197391739,5.577141227,2.739300206,19.88110375,3.423735228
53:16.8,Southern Ocean,-88.7486165,-69.68418383,691.806542,34.34980198,8.106033453,3.935375316,20.29454173,1.135353937,7.704970494,0.436222749,1.871755796,13.27412491
53:16.8,Other,1.934514464,-165.5071189,641.947567,37.27292477,7.711582135,5.559887484,19.23469835,0.985890775,1.744567184,0.179245816,5.526325702,24.26852649
53:16.8,Indian Ocean,-14.86601943,31.80679955,4316.759806,32.69561693,8.114064985,0.647386704,13.61145868,1.439460544,6.926477422,1.603823362,13.12158878,-13.15817244
53:16.8,Atlantic Ocean,-50.02059412,-36.8336108,5127.411984,31.00169326,8.222649702,3.31894397,7.083867772,2.601305253,3.347902396,0.003081416,6.304725121,-28.1055642
53:16.8,Southern Ocean,-68.42423388,170.5681488,1541.713797,33.52431026,8.222304329,0.503517695,37.56990892,0.756178056,6.673412675,2.363156829,6.923002959,7.346463206
53:16.8,Atlantic Ocean,-29.22926915,15.9115185,125.457074,34.029728,8.315073991,0.026646322,12.64318875,0.302891434,6.989456369,1.517918666,17.8528988,24.87936875
53:16.8,Arctic Ocean,79.7237467,-80.91389483,1338.540111,30.16537125,8.353550228,0.254050264,32.02765854,2.593909119,2.900415203,1.464196728,11.5870781,7.658072289
53:16.8,Indian Ocean,-31.82347224,75.39799127,339.0941448,38.14792002,7.577271726,2.905822924,28.61388085,0.078869547,3.861814316,1.087487936,2.057311656,22.12550997
53:16.8,Other,3.382311914,-82.26287908,620.3696198,33.59193402,7.843267157,0.013860305,31.63670401,2.732991067,6.08210048,1.124921508,6.217251715,24.67450275
53:16.8,Pacific Ocean,36.5434126,145.5275849,2589.048719,35.80418166,8.18712252,0.789645163,37.47072533,0.917235583,1.693389416,1.293401035,1.52116753,0.640043959
53:16.8,Atlantic Ocean,-24.54667157,-45.10009062,1379.510225,30.73963187,7.998586287,0.078612119,24.93483041,1.524668105,6.28873474,0.048097033,11.12259867,13.81532263
53:16.8,Arctic Ocean,84.92077489,17.9526826,3095.675271,31.74996829,7.690675947,0.337427903,35.91801374,0.396886574,1.773310482,0.250637362,3.465363928,-10.33103857
53:16.8,Arctic Ocean,83.24051309,-161.7936826,1520.96252,38.89693725,8.05270957,0.092217104,6.707892916,2.706764908,7.401190126,1.51514406,17.142303,7.436339022
53:16.8,Atlantic Ocean,-44.67918675,-26.59635434,5643.223807,36.08687528,7.907435653,1.96275152,25.06850304,2.24950867,2.934375053,0.450366796,11.54628053,-29.55390919
53:16.8,Pacific Ocean,-0.495268939,119.6508743,5435.663808,39.5028405,7.890038278,0.894213022,30.89102452,2.77246676,5.029195428,2.336287825,1.187512839,-23.37388005
53:16.8,Pacific Ocean,-35.84190423,110.0335699,3400.83663,39.98750034,8.309753717,2.323874776,10.86564523,2.049687153,1.820074501,0.823455522,6.017513272,-6.427350331
53:16.8,Other,-38.72871101,-99.24531881,2126.543952,33.71860115,7.907598334,1.165884782,29.63015205,0.55408133,2.886452083,0.293698912,12.32675334,3.811468568
53:16.8,Southern Ocean,-83.36034948,-98.61153444,2286.881292,32.98803064,7.526454505,3.54146448,31.13907316,0.924801009,3.827685304,0.705629778,6.709966364,-2.141665303
53:16.8,Pacific Ocean,19.72158012,114.2299124,2471.113699,38.58356055,7.558063339,0.713100235,33.24751824,1.460545725,4.409342137,1.07129469,10.26353337,3.020601472
53:16.8,Pacific Ocean,0.482224181,154.9434313,4365.475933,39.98611427,8.356244042,1.018075929,12.5153165,1.821774616,1.000472484,0.105949826,18.18724589,-13.44377648
53:16.8,Southern Ocean,-80.73382478,-145.6700683,2709.833973,36.29641234,8.46060081,0.858750438,27.26426361,2.779378312,7.220590337,0.425026573,7.00071941,-3.66121063
53:16.8,Atlantic Ocean,-39.84363644,-17.97888981,5140.379679,37.95140723,8.188409336,0.662153349,12.17013134,1.151854397,1.053723667,0.971540263,6.717457249,-22.98926968
53:16.8,Arctic Ocean,73.48785947,-58.51645957,5664.568716,37.81745859,7.864368294,1.87053885,29.5616155,2.109216066,6.415791941,0.931441421,16.39513683,-34.67825627
53:16.8,Pacific Ocean,-46.87885968,133.447844,2015.67692,33.55339708,8.438600316,1.034300737,18.51894661,2.883026547,4.294052386,2.40116009,6.375130458,5.261196031
53:16.8,Southern Ocean,-63.91892302,-149.9310307,3364.166888,35.7427038,8.162803086,1.616020857,23.90177498,0.45712219,4.667160174,2.529766426,1.559166883,-10.20271181
53:16.8,Other,-1.89850315,-103.9946607,570.339221,38.33056941,8.344333549,1.54348135,16.63359926,2.588128766,2.457858355,0.580255797,3.618899085,26.16983992
53:16.8,Arctic Ocean,87.41708174,90.88860153,1202.814287,36.88113876,8.265852304,0.212012186,6.479317077,1.262118211,5.251578452,0.371819652,18.97600502,9.741236931
53:16.8,Other,-46.43005113,-161.5342144,2480.7946,30.21163814,7.879139316,1.050289469,7.121181184,2.197265328,4.760623364,1.902487453,18.66585585,-0.416099192
53:16.8,Atlantic Ocean,30.98439853,-2.687262943,1237.216295,33.36705669,7.978702201,0.222703672,3.10275629,0.880615016,2.149654846,2.413870667,4.496241816,13.45803922
53:16.8,Atlantic Ocean,47.09153076,-20.84146752,5259.362945,31.44475697,7.686132154,0.875437886,24.72290719,1.001952655,2.666833009,2.891169292,11.07003746,-29.54561117
